area_m2,number_rooms,bathrooms,condominium fees,condition_encoded,heating_encoded,Energy Efficiency Encoded,grid_cell_encoded,price_euro,total_features
84.0,3.0,1.0,180.0,3,0,9,30,369000.0,184.0
53.0,2.0,1.0,180.0,1,1,9,31,129900.0,183.0
75.0,3.0,1.0,200.0,1,0,5,31,240000.0,204.0
102.0,2.0,1.0,180.0,0,0,8,30,363000.0,183.0
62.0,2.0,1.0,100.0,1,1,4,31,220000.0,103.0
55.0,2.0,1.0,180.0,2,1,7,30,345000.0,183.0
68.0,2.0,1.0,180.0,1,0,8,31,270000.0,183.0
91.0,3.0,2.0,180.0,2,1,8,30,184500.0,185.0
80.0,3.0,1.0,180.0,1,0,9,31,363000.0,184.0
65.0,2.0,1.0,180.0,2,1,8,30,255000.0,183.0
112.0,3.0,2.0,180.0,1,0,6,31,363000.0,185.0
40.0,2.0,1.0,84.0,1,1,8,31,178000.0,87.0
70.0,3.0,1.0,175.0,1,0,9,30,350000.0,179.0
110.0,3.0,1.0,267.0,1,0,7,31,305000.0,271.0
147.0,4.0,2.0,180.0,1,0,9,31,1050000.0,186.0
110.0,2.0,1.0,250.0,1,0,7,30,550000.0,253.0
90.0,3.0,1.0,180.0,1,0,8,31,420000.0,184.0
60.0,2.0,1.0,180.0,1,0,5,30,460000.0,183.0
75.0,2.0,1.0,180.0,1,0,5,30,480000.0,183.0
95.0,3.0,2.0,180.0,0,1,8,30,465000.0,185.0
65.0,2.0,1.0,220.0,2,0,8,30,195000.0,223.0
32.0,1.0,1.0,110.0,2,1,8,30,270000.0,112.0
80.0,3.0,1.0,180.0,1,0,9,31,363000.0,184.0
115.0,3.0,2.0,270.0,1,0,6,31,990000.0,275.0
70.0,2.0,1.0,180.0,3,0,8,31,95200.0,183.0
80.0,2.0,1.0,240.0,2,0,6,30,630000.0,243.0
120.0,3.0,1.0,180.0,2,0,9,30,800000.0,184.0
65.0,2.0,1.0,140.0,2,0,8,30,279000.0,143.0
55.0,2.0,1.0,86.0,2,1,8,31,364000.0,89.0
43.0,1.0,1.0,180.0,0,1,8,30,220000.0,182.0
80.0,3.0,2.0,180.0,1,1,8,30,520000.0,185.0
80.0,4.0,1.0,180.0,2,0,9,30,276000.0,185.0
80.0,3.0,1.0,180.0,2,0,9,30,81750.0,184.0
61.0,2.0,1.0,110.0,1,1,8,30,340000.0,113.0
87.0,3.0,2.0,180.0,1,0,8,30,363000.0,185.0
145.0,4.0,1.0,180.0,2,0,6,31,890000.0,185.0
50.0,2.0,1.0,100.0,1,0,7,31,279000.0,103.0
56.0,2.0,1.0,200.0,2,0,9,31,380000.0,203.0
56.0,2.0,1.0,200.0,2,0,9,31,360000.0,203.0
50.0,2.0,1.0,100.0,1,0,8,31,275000.0,103.0
50.0,2.0,1.0,100.0,1,0,8,31,259000.0,103.0
86.0,3.0,1.0,180.0,2,1,9,31,142975.0,184.0
150.0,4.0,2.0,180.0,1,0,7,31,980000.0,186.0
103.0,3.0,1.0,180.0,3,0,9,30,659000.0,184.0
30.0,1.0,1.0,180.0,3,1,9,31,159000.0,182.0
50.0,2.0,1.0,100.0,1,1,9,31,325000.0,103.0
80.0,2.0,1.0,180.0,2,0,9,31,52500.0,183.0
100.0,3.0,1.0,200.0,2,0,8,31,720000.0,204.0
53.0,2.0,1.0,130.0,1,0,8,30,380000.0,133.0
106.0,3.0,1.0,180.0,2,1,9,31,635000.0,184.0
70.0,3.0,1.0,200.0,2,0,9,31,460000.0,204.0
70.0,3.0,1.0,200.0,2,0,9,31,430000.0,204.0
132.0,3.0,3.0,180.0,3,0,9,31,1100000.0,186.0
100.0,3.0,2.0,180.0,1,0,8,30,790000.0,185.0
55.0,2.0,1.0,110.0,1,1,8,31,490000.0,113.0
55.0,2.0,2.0,170.0,1,0,8,30,290000.0,174.0
103.0,3.0,2.0,180.0,1,0,8,30,830000.0,185.0
80.0,3.0,1.0,180.0,1,0,6,31,363000.0,184.0
60.0,2.0,1.0,120.0,3,1,9,30,440000.0,123.0
